amb	gen	rept	y
E2	C014	6	12.4
E2	C015	6	12.7
E2	C001	7	10.8
E2	C002	7	7.8
E2	C003	7	15.8
E2	C004	7	15.2
E2	C005	7	13.4
E2	C006	7	12.7
E2	C007	7	12.6
E2	C008	7	12.1
E2	C009	7	8.2
E2	C010	7	15.9
E2	C011	7	14.8
E2	C012	7	NA
E2	C013	7	11
E2	C014	7	13.4
E2	C015	7	13.9
E2	C001	8	6.8
E2	C002	8	12
E2	C003	8	12.5
E2	C004	8	16.1
E2	C005	8	14.3
E2	C006	8	10.8
E2	C007	8	11.1
E2	C008	8	13.1
E2	C009	8	14.3
E2	C010	8	14.1
E2	C011	8	16.6
E2	C012	8	13.1
E2	C013	8	15.5
E2	C014	8	12.7
E2	C015	8	13.4
E2	C001	9	9.2
E2	C002	9	9.6
E2	C003	9	16.3
E2	C004	9	17.7
E2	C005	9	9.4
E2	C006	9	11.3
E2	C007	9	11
E2	C008	9	13.3
E2	C009	9	11.7
E2	C010	9	14.9
E2	C011	9	13.4
E2	C012	9	12.5
E2	C013	9	12.7
E2	C014	9	12.7
E2	C015	9	11.3
E2	C001	10	11.5
E2	C002	10	13.8
E2	C003	10	15.5
E2	C004	10	16.4
E2	C005	10	11.5
E2	C006	10	12.7
E2	C007	10	9.9
E2	C008	10	10.6
E2	C009	10	13.3
E2	C010	10	13.8
E2	C011	10	9.5
E2	C012	10	13.2
E2	C013	10	13.1
E2	C014	10	13.5
E2	C015	10	10.8
E3	C001	1	13.46
E3	C002	1	12.25
E3	C003	1	13.78
E3	C004	1	11.78
E3	C005	1	12.7
E3	C006	1	12.73
E3	C007	1	12.03
E3	C008	1	11.01
E3	C009	1	NA
E3	C010	1	4.14
E3	C011	1	13.46
E3	C012	1	12.38
E3	C013	1	12.1
E3	C014	1	12.86
E3	C015	1	8.34
E3	C001	2	6.18
E3	C002	2	12.96
E3	C003	2	12.73
E3	C004	2	13.94
E3	C005	2	13.66
E3	C006	2	12.64
E3	C007	2	11.94
E3	C008	2	10.89
E3	C009	2	13.5
E3	C010	2	11.36
E3	C011	2	9.23
E3	C012	2	12
E3	C013	2	14.16
E3	C014	2	12.32
E3	C015	2	12.89
E3	C001	3	14.74
E3	C002	3	15.34
E3	C003	3	3.57
E3	C004	3	12.61
E3	C005	3	14.32
E3	C006	3	13.24
E3	C007	3	13.81
E3	C008	3	11.55
E3	C009	3	14.8
E3	C010	3	11.55
E3	C011	3	12.16
E3	C012	3	NA
